Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   95/1000 |      5s |        -32.71178 |  |   0.753077 |   -33.86692 |
|   96/1000 |      5s |        -32.75232 |  |   0.757778 |   -35.00745 |
|   97/1000 |      5s |        -32.99917 |  |   0.759456 |   -35.17411 |
|   98/1000 |      5s |        -32.92475 |  |   0.760425 |   -33.11343 |
|   99/1000 |      5s |        -32.95560 |  |   0.754760 |   -36.34121 |
|  100/1000 |      5s |        -32.94016 |  |   0.755090 |   -36.23066 |
|  101/1000 |      5s |        -33.76653 |  |   0.756725 |   -36.88128 |
|  102/1000 |      5s |        -33.88646 |  |   0.754442 |   -36.85484 |
|  103/1000 |      5s |        -33.92532 |  |   0.755448 |   -37.00339 |
|  104/1000 |      5s |        -33.99371 |  |   0.759231 |   -37.29303 |
|  105/1000 |      5s |        -34.15620 |  |   0.752657 |   -35.14045 |
|  106/1000 |      5s |        -33.97226 |  |   0.755216 |   -36.21016 |
|  107/1000 |      5s |        -34.22951 |  |   0.759120 |   -36.95254 |
|  108/1000 |      5s |        -34.06961 |  |   0.753854 |   -37.48886 |
|  109/1000 |      5s |        -34.25081 |  |   0.755893 |   -37.26749 |
|  110/1000 |      5s |        -34.27284 |  |   0.761878 |   -37.37110 |
|  111/1000 |      5s |        -34.38179 |  |   0.758794 |   -36.48252 |
|  112/1000 |      5s |        -34.48048 |  |   0.761675 |   -37.69303 |
|  113/1000 |      5s |        -34.32877 |  |   0.760466 |   -37.24671 |
|  114/1000 |      6s |        -34.50472 |  |   0.759951 |   -37.93314 |
|  115/1000 |      6s |        -34.47885 |  |   0.762750 |   -37.33652 |
|  116/1000 |      5s |        -34.54957 |  |   0.760149 |   -37.06338 |
|  117/1000 |      5s |        -34.63183 |  |   0.759206 |   -36.85425 |
|  118/1000 |      5s |        -34.58620 |  |   0.760583 |   -38.17444 |
|  119/1000 |      5s |        -34.74272 |  |   0.760092 |   -38.11427 |
|  120/1000 |      5s |        -34.65729 |  |   0.757710 |   -37.46393 |
|  121/1000 |      5s |        -34.72713 |  |   0.759530 |   -36.87907 |
|  122/1000 |      5s |        -34.77215 |  |   0.762415 |   -37.87998 |
|  123/1000 |      5s |        -34.99875 |  |   0.761282 |   -38.19867 |
|  124/1000 |      5s |        -34.82565 |  |   0.755177 |   -37.98314 |
|  125/1000 |      5s |        -34.85737 |  |   0.761711 |   -38.75501 |
|  126/1000 |      5s |        -34.79479 |  |   0.764790 |   -37.57599 |
|  127/1000 |      5s |        -34.96203 |  |   0.766513 |   -37.43146 |
|  128/1000 |      5s |        -35.04277 |  |   0.762582 |   -36.82601 |
|  129/1000 |      5s |        -35.04656 |  |   0.760706 |   -37.34346 |
|  130/1000 |      5s |        -34.97006 |  |   0.764035 |   -38.07895 |
|  131/1000 |      5s |        -35.12033 |  |   0.766197 |   -38.22442 |
|  132/1000 |      5s |        -35.21876 |  |   0.760109 |   -37.72161 |
|  133/1000 |      5s |        -35.04000 |  |   0.767206 |   -38.41532 |
|  134/1000 |      5s |        -35.15044 |  |   0.758524 |   -37.90183 |
|  135/1000 |      5s |        -35.30709 |  |   0.763278 |   -38.59059 |
|  136/1000 |      5s |        -35.28217 |  |   0.758391 |   -36.62143 |
|  137/1000 |      5s |        -35.41111 |  |   0.761320 |   -38.71519 |
|  138/1000 |      5s |        -35.42536 |  |   0.760263 |   -39.10149 |
|  139/1000 |      5s |        -35.50852 |  |   0.765328 |   -38.20527 |
|  140/1000 |      5s |        -35.42549 |  |   0.766950 |   -38.88287 |
|  141/1000 |      5s |        -35.45674 |  |   0.761179 |   -38.90817 |
|  142/1000 |      5s |        -35.52967 |  |   0.760460 |   -37.23698 |
|  143/1000 |      5s |        -35.51976 |  |   0.761306 |   -38.96284 |
|  144/1000 |      5s |        -35.60932 |  |   0.762952 |   -38.78928 |
|  145/1000 |      6s |        -35.62747 |  |   0.760864 |   -38.88060 |
|  146/1000 |      5s |        -35.58711 |  |   0.763399 |   -39.35043 |
|  147/1000 |      5s |        -35.64502 |  |   0.764566 |   -38.27850 |
|  148/1000 |      5s |        -35.67137 |  |   0.762081 |   -39.15040 |
|  149/1000 |      5s |        -35.64201 |  |   0.763968 |   -37.84729 |
|  150/1000 |      5s |        -35.60240 |  |   0.762801 |   -39.05430 |
|  151/1000 |      5s |        -35.71176 |  |   0.762307 |   -39.02790 |
|  152/1000 |      5s |        -35.76135 |  |   0.761615 |   -38.96573 |
|  153/1000 |      5s |        -35.77477 |  |   0.764670 |   -37.64616 |
|  154/1000 |      5s |        -35.78882 |  |   0.765351 |   -39.04702 |
|  155/1000 |      6s |        -35.83086 |  |   0.764084 |   -38.81394 |
|  156/1000 |      5s |        -35.84012 |  |   0.760559 |   -39.04910 |
|  157/1000 |      5s |        -35.97274 |  |   0.760858 |   -38.31246 |
|  158/1000 |      5s |        -35.92106 |  |   0.764160 |   -39.05448 |
|  159/1000 |      5s |        -35.90864 |  |   0.765467 |   -38.90048 |
|  160/1000 |      5s |        -36.09032 |  |   0.763648 |   -38.67327 |
|  161/1000 |      5s |        -36.10643 |  |   0.761678 |   -37.38300 |
|  162/1000 |      6s |        -35.91439 |  |   0.762827 |   -39.38922 |
|  163/1000 |      5s |        -36.01079 |  |   0.762997 |   -38.42805 |
|  164/1000 |      5s |        -36.00749 |  |   0.765873 |   -38.88202 |
|  165/1000 |      6s |        -36.05374 |  |   0.766129 |   -40.14665 |
|  166/1000 |      5s |        -36.14590 |  |   0.759291 |   -39.23382 |
|  167/1000 |      5s |        -36.14862 |  |   0.765140 |   -39.20886 |
|  168/1000 |      6s |        -36.25041 |  |   0.761661 |   -39.02645 |
|  169/1000 |      5s |        -36.32577 |  |   0.763838 |   -39.60606 |
|  170/1000 |      5s |        -36.15530 |  |   0.768053 |   -39.31162 |
|  171/1000 |      5s |        -36.27221 |  |   0.765734 |   -39.15591 |
|  172/1000 |      5s |        -36.30293 |  |   0.763001 |   -39.79315 |
|  173/1000 |      6s |        -36.43429 |  |   0.762462 |   -40.10001 |
|  174/1000 |      5s |        -36.43783 |  |   0.766185 |   -39.71835 |
|  175/1000 |      5s |        -36.34709 |  |   0.765016 |   -39.90106 |
|  176/1000 |      6s |        -36.29321 |  |   0.766720 |   -39.92153 |
|  177/1000 |      5s |        -36.44499 |  |   0.762312 |   -39.76672 |
|  178/1000 |      5s |        -36.39453 |  |   0.763113 |   -40.29429 |
|  179/1000 |      6s |        -36.46318 |  |   0.768989 |   -39.55232 |
|  180/1000 |      5s |        -36.45697 |  |   0.763318 |   -39.69785 |
|  181/1000 |      5s |        -36.40666 |  |   0.765968 |   -38.76493 |
|  182/1000 |      5s |        -36.44559 |  |   0.764735 |   -38.27611 |
|  183/1000 |      5s |        -36.54648 |  |   0.764899 |   -40.55192 |
|  184/1000 |      5s |        -36.56537 |  |   0.769057 |   -39.50941 |
|  185/1000 |      6s |        -36.44343 |  |   0.766739 |   -39.93378 |
|  186/1000 |      6s |        -36.35774 |  |   0.765704 |   -39.79232 |
|  187/1000 |      5s |        -36.56324 |  |   0.771706 |   -39.63656 |
|  188/1000 |      5s |        -36.53099 |  |   0.764912 |   -39.85539 |
|  189/1000 |      5s |        -36.52641 |  |   0.762471 |   -40.26157 |
|  190/1000 |      5s |        -36.66112 |  |   0.761358 |   -38.65928 |
|  191/1000 |      5s |        -36.67521 |  |   0.765617 |   -40.20101 |
|  192/1000 |      5s |        -36.73399 |  |   0.765514 |   -40.05309 |
|  193/1000 |      5s |        -36.84491 |  |   0.765317 |   -39.46370 |
|  194/1000 |      5s |        -36.62782 |  |   0.767374 |   -39.45546 |
|  195/1000 |      6s |        -36.68429 |  |   0.765767 |   -39.56374 |
|  196/1000 |      5s |        -36.76754 |  |   0.770118 |   -40.09666 |
|  197/1000 |      5s |        -36.85431 |  |   0.759387 |   -40.09860 |
|  198/1000 |      5s |        -36.71431 |  |   0.764109 |   -39.07237 |
|  199/1000 |      5s |        -36.93289 |  |   0.767242 |   -40.39770 |
|  200/1000 |      5s |        -36.79924 |  |   0.763976 |   -40.63465 |
|  201/1000 |      5s |        -37.38052 |  |   0.769237 |   -40.28562 |
|  202/1000 |      6s |        -37.33947 |  |   0.767619 |   -40.90723 |
|  203/1000 |      5s |        -37.37959 |  |   0.770851 |   -40.40861 |
|  204/1000 |      5s |        -37.36411 |  |   0.764330 |   -40.83299 |
|  205/1000 |      6s |        -37.54987 |  |   0.769363 |   -41.28416 |
|  206/1000 |      5s |        -37.49657 |  |   0.768452 |   -40.98366 |
|  207/1000 |      5s |        -37.50868 |  |   0.764650 |   -39.04370 |
|  208/1000 |      5s |        -37.51707 |  |   0.764116 |   -41.17077 |
|  209/1000 |      5s |        -37.52984 |  |   0.767910 |   -40.91361 |
|  210/1000 |      5s |        -37.61415 |  |   0.761815 |   -40.85578 |
|  211/1000 |      5s |        -37.64892 |  |   0.765021 |   -40.17248 |
|  212/1000 |      6s |        -37.49864 |  |   0.764886 |   -40.92624 |
|  213/1000 |      5s |        -37.60170 |  |   0.769572 |   -41.21426 |
|  214/1000 |      5s |        -37.61323 |  |   0.767908 |   -40.94818 |
|  215/1000 |      5s |        -37.63527 |  |   0.768174 |   -40.65205 |
|  216/1000 |      6s |        -37.64121 |  |   0.767308 |   -41.52790 |
|  217/1000 |      5s |        -37.72703 |  |   0.764738 |   -40.97774 |
|  218/1000 |      5s |        -37.59150 |  |   0.767378 |   -40.97411 |
|  219/1000 |      5s |        -37.66835 |  |   0.761561 |   -39.58999 |
|  220/1000 |      5s |        -37.81056 |  |   0.765183 |   -41.07870 |
|  221/1000 |      5s |        -37.69794 |  |   0.768484 |   -41.54257 |
|  222/1000 |      6s |        -37.76237 |  |   0.765387 |   -41.36242 |
|  223/1000 |      5s |        -37.75930 |  |   0.768679 |   -40.83236 |
|  224/1000 |      5s |        -37.82549 |  |   0.763206 |   -39.86882 |
|  225/1000 |      5s |        -37.75140 |  |   0.766947 |   -41.49120 |
|  226/1000 |      6s |        -37.82615 |  |   0.768884 |   -40.61099 |
|  227/1000 |      5s |        -37.81553 |  |   0.766131 |   -40.02650 |
|  228/1000 |      5s |        -37.83861 |  |   0.765239 |   -41.16915 |
|  229/1000 |      5s |        -37.82386 |  |   0.768107 |   -41.36333 |
|  230/1000 |      5s |        -37.88685 |  |   0.769395 |   -41.25602 |
|  231/1000 |      5s |        -37.90668 |  |   0.765734 |   -40.80104 |
|  232/1000 |      5s |        -37.85893 |  |   0.765818 |   -41.71367 |
|  233/1000 |      5s |        -37.89391 |  |   0.765070 |   -39.81698 |
|  234/1000 |      5s |        -37.90717 |  |   0.766859 |   -40.58022 |
|  235/1000 |      5s |        -37.95514 |  |   0.763691 |   -40.06992 |
|  236/1000 |      6s |        -37.89829 |  |   0.768548 |   -41.41514 |
|  237/1000 |      5s |        -38.00349 |  |   0.770208 |   -41.57214 |
|  238/1000 |      5s |        -37.99532 |  |   0.763983 |   -41.09762 |
|  239/1000 |      5s |        -37.93053 |  |   0.764156 |   -41.55061 |
|  240/1000 |      5s |        -38.03873 |  |   0.766488 |   -41.71017 |
|  241/1000 |      5s |        -38.05223 |  |   0.767778 |   -40.73200 |
|  242/1000 |      5s |        -38.06809 |  |   0.765498 |   -41.68894 |
|  243/1000 |      5s |        -38.08934 |  |   0.770222 |   -41.52865 |
|  244/1000 |      5s |        -38.04074 |  |   0.765408 |   -40.75018 |
|  245/1000 |      5s |        -38.06960 |  |   0.762907 |   -41.54164 |
|  246/1000 |      5s |        -38.02666 |  |   0.768694 |   -42.03616 |
|  247/1000 |      5s |        -38.20054 |  |   0.768637 |   -41.72822 |
|  248/1000 |      5s |        -38.13293 |  |   0.767405 |   -41.82127 |
|  249/1000 |      5s |        -38.18326 |  |   0.766294 |   -41.12977 |
|  250/1000 |      5s |        -38.13563 |  |   0.767347 |   -41.32722 |
|  251/1000 |      5s |        -38.13049 |  |   0.766506 |   -41.68065 |
|  252/1000 |      5s |        -38.21060 |  |   0.762771 |   -40.40476 |
|  253/1000 |      5s |        -38.24416 |  |   0.765478 |   -41.29542 |
|  254/1000 |      5s |        -38.18047 |  |   0.767993 |   -41.82373 |
|  255/1000 |      5s |        -38.22996 |  |   0.767217 |   -42.10214 |
|  256/1000 |      6s |        -38.22575 |  |   0.768821 |   -42.05043 |
|  257/1000 |      5s |        -38.21526 |  |   0.767611 |   -41.87647 |
|  258/1000 |      5s |        -38.20709 |  |   0.767727 |   -41.66506 |
|  259/1000 |      5s |        -38.26175 |  |   0.772325 |   -41.54290 |
|  260/1000 |      5s |        -38.20717 |  |   0.768923 |   -41.97295 |
|  261/1000 |      5s |        -38.32026 |  |   0.771806 |   -41.59318 |
|  262/1000 |      6s |        -38.33137 |  |   0.764923 |   -40.55568 |
|  263/1000 |      5s |        -38.32331 |  |   0.766342 |   -41.77353 |
|  264/1000 |      5s |        -38.37954 |  |   0.768431 |   -41.77195 |
|  265/1000 |      5s |        -38.31705 |  |   0.769267 |   -41.81468 |
|  266/1000 |      5s |        -38.37307 |  |   0.768789 |   -41.97698 |
|  267/1000 |      5s |        -38.39147 |  |   0.771347 |   -39.34643 |
|  268/1000 |      5s |        -38.26370 |  |   0.767207 |   -41.00484 |
|  269/1000 |      5s |        -38.37852 |  |   0.773119 |   -42.02873 |
|  270/1000 |      5s |        -38.43813 |  |   0.770519 |   -42.38273 |
|  271/1000 |      5s |        -38.48751 |  |   0.769297 |   -41.88391 |
|  272/1000 |      5s |        -38.45786 |  |   0.768643 |   -42.00012 |
|  273/1000 |      5s |        -38.45251 |  |   0.769746 |   -41.64910 |
|  274/1000 |      5s |        -38.43811 |  |   0.765322 |   -40.20256 |
|  275/1000 |      5s |        -38.42032 |  |   0.770855 |   -41.91109 |
|  276/1000 |      5s |        -38.44671 |  |   0.766814 |   -41.64892 |
|  277/1000 |      6s |        -38.54363 |  |   0.769730 |   -41.41699 |
|  278/1000 |      5s |        -38.43774 |  |   0.764637 |   -41.20850 |
|  279/1000 |      5s |        -38.44647 |  |   0.767181 |   -41.84909 |
|  280/1000 |      5s |        -38.58843 |  |   0.769810 |   -41.58678 |
|  281/1000 |      5s |        -38.47562 |  |   0.772339 |   -42.48694 |
|  282/1000 |      5s |        -38.51655 |  |   0.767247 |   -42.09346 |
|  283/1000 |      6s |        -38.50795 |  |   0.766652 |   -41.88560 |
|  284/1000 |      5s |        -38.61068 |  |   0.768598 |   -42.22106 |
|  285/1000 |      5s |        -38.52173 |  |   0.768775 |   -41.96601 |
|  286/1000 |      5s |        -38.45993 |  |   0.764690 |   -40.98599 |
|  287/1000 |      5s |        -38.49404 |  |   0.767950 |   -42.02041 |
|  288/1000 |      5s |        -38.63977 |  |   0.770198 |   -40.93999 |
|  289/1000 |      6s |        -38.54140 |  |   0.769058 |   -41.89401 |
|  290/1000 |      5s |        -38.64821 |  |   0.767159 |   -40.68766 |
|  291/1000 |      5s |        -38.59864 |  |   0.771667 |   -42.06433 |
|  292/1000 |      5s |        -38.64463 |  |   0.772903 |   -42.30580 |
|  293/1000 |      5s |        -38.64172 |  |   0.770314 |   -42.32476 |
|  294/1000 |      5s |        -38.63712 |  |   0.769114 |   -42.48100 |
|  295/1000 |      5s |        -38.75437 |  |   0.767063 |   -42.46439 |
|  296/1000 |      5s |        -38.70039 |  |   0.770249 |   -42.33480 |
|  297/1000 |      5s |        -38.73322 |  |   0.768306 |   -42.17010 |
|  298/1000 |      5s |        -38.67267 |  |   0.767853 |   -40.67204 |
|  299/1000 |      5s |        -38.63712 |  |   0.768901 |   -41.75357 |
|  300/1000 |      6s |        -38.76269 |  |   0.767550 |   -42.38565 |
|  301/1000 |      6s |        -39.07256 |  |   0.766133 |   -42.43305 |
|  302/1000 |      5s |        -39.10324 |  |   0.768573 |   -42.51172 |
|  303/1000 |      5s |        -39.24159 |  |   0.768118 |   -42.83851 |
|  304/1000 |      5s |        -39.08665 |  |   0.768190 |   -41.74625 |
|  305/1000 |      5s |        -39.17963 |  |   0.767848 |   -42.75341 |
|  306/1000 |      5s |        -39.16701 |  |   0.771227 |   -42.84590 |
|  307/1000 |      5s |        -39.21937 |  |   0.767711 |   -42.28762 |
|  308/1000 |      5s |        -39.25202 |  |   0.764692 |   -42.90632 |
|  309/1000 |      5s |        -39.22569 |  |   0.770330 |   -42.84752 |
|  310/1000 |      5s |        -39.34621 |  |   0.768349 |   -42.56761 |
|  311/1000 |      5s |        -39.18006 |  |   0.767807 |   -42.40742 |
|  312/1000 |      5s |        -39.25822 |  |   0.766196 |   -42.58677 |
|  313/1000 |      6s |        -39.33388 |  |   0.769298 |   -42.49603 |
|  314/1000 |      6s |        -39.32197 |  |   0.769525 |   -42.67207 |
|  315/1000 |      5s |        -39.26283 |  |   0.766859 |   -43.09745 |
|  316/1000 |      5s |        -39.34834 |  |   0.766148 |   -42.01688 |
|  317/1000 |      5s |        -39.36188 |  |   0.765618 |   -42.64834 |
|  318/1000 |      5s |        -39.35236 |  |   0.768113 |   -42.96885 |
|  319/1000 |      5s |        -39.37520 |  |   0.766761 |   -42.72928 |
|  320/1000 |      5s |        -39.34533 |  |   0.767627 |   -42.97589 |
|  321/1000 |      5s |        -39.38837 |  |   0.766659 |   -42.67102 |
|  322/1000 |      5s |        -39.32254 |  |   0.769517 |   -42.78910 |
|  323/1000 |      6s |        -39.32902 |  |   0.769884 |   -43.37847 |
|  324/1000 |      5s |        -39.39375 |  |   0.766925 |   -42.63503 |
|  325/1000 |      5s |        -39.39687 |  |   0.768954 |   -42.91421 |
|  326/1000 |      5s |        -39.40972 |  |   0.771410 |   -42.31099 |
|  327/1000 |      5s |        -39.29206 |  |   0.769621 |   -43.02384 |
