Selected mat file:
otherR/R_15.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   90/1000 |      8s |        -29.07628 |  |   0.722465 |   -31.31735 |
|   91/1000 |      8s |        -29.07112 |  |   0.726529 |   -30.76591 |
|   92/1000 |      8s |        -29.33944 |  |   0.731002 |   -32.59154 |
|   93/1000 |      8s |        -29.08564 |  |   0.732906 |   -32.35713 |
|   94/1000 |      8s |        -28.84199 |  |   0.728693 |   -32.22054 |
|   95/1000 |      8s |        -29.21862 |  |   0.712498 |   -23.95729 |
|   96/1000 |      8s |        -25.78825 |  |   0.729352 |   -33.22919 |
|   97/1000 |      8s |        -29.33897 |  |   0.733228 |   -32.39827 |
|   98/1000 |      8s |        -29.28565 |  |   0.735364 |   -32.48289 |
|   99/1000 |      8s |        -29.49242 |  |   0.738521 |   -32.43570 |
|  100/1000 |      8s |        -29.54773 |  |   0.728025 |   -30.10948 |
|  101/1000 |      8s |        -30.20791 |  |   0.740760 |   -33.61798 |
|  102/1000 |      8s |        -30.22712 |  |   0.741390 |   -33.56895 |
|  103/1000 |      8s |        -30.38158 |  |   0.742180 |   -32.99786 |
|  104/1000 |      8s |        -30.40223 |  |   0.742843 |   -33.55841 |
|  105/1000 |      8s |        -30.46666 |  |   0.742215 |   -34.01220 |
|  106/1000 |      8s |        -30.59443 |  |   0.746623 |   -34.18729 |
|  107/1000 |      8s |        -30.47911 |  |   0.741351 |   -32.97224 |
|  108/1000 |      8s |        -30.61337 |  |   0.747184 |   -34.22605 |
|  109/1000 |      8s |        -30.66766 |  |   0.744205 |   -34.05195 |
|  110/1000 |      8s |        -30.75863 |  |   0.745522 |   -32.97478 |
|  111/1000 |      8s |        -30.65975 |  |   0.755039 |   -33.45740 |
|  112/1000 |      8s |        -30.79757 |  |   0.753944 |   -33.71380 |
|  113/1000 |      8s |        -30.88006 |  |   0.752980 |   -33.83420 |
|  114/1000 |      8s |        -30.93448 |  |   0.752814 |   -34.04293 |
|  115/1000 |      8s |        -30.84824 |  |   0.753260 |   -34.51787 |
|  116/1000 |      8s |        -30.97134 |  |   0.753650 |   -34.27511 |
|  117/1000 |      8s |        -30.94067 |  |   0.752988 |   -34.38402 |
|  118/1000 |      8s |        -31.02220 |  |   0.751828 |   -33.58411 |
|  119/1000 |      8s |        -30.95889 |  |   0.754627 |   -34.35136 |
|  120/1000 |      8s |        -31.07751 |  |   0.758017 |   -34.74446 |
|  121/1000 |      8s |        -31.19797 |  |   0.760327 |   -35.02334 |
|  122/1000 |      8s |        -31.06766 |  |   0.760173 |   -33.41669 |
|  123/1000 |      8s |        -31.14368 |  |   0.760643 |   -34.67449 |
|  124/1000 |      8s |        -31.25044 |  |   0.761213 |   -35.01043 |
|  125/1000 |      8s |        -31.27010 |  |   0.759823 |   -35.00929 |
|  126/1000 |      8s |        -31.17312 |  |   0.765933 |   -34.42230 |
|  127/1000 |      8s |        -31.34856 |  |   0.754379 |   -33.60573 |
|  128/1000 |      8s |        -31.37673 |  |   0.761748 |   -33.50269 |
|  129/1000 |      8s |        -31.35086 |  |   0.768026 |   -35.49702 |
|  130/1000 |      8s |        -31.38003 |  |   0.761954 |   -34.81776 |
|  131/1000 |      8s |        -31.36270 |  |   0.762680 |   -34.99772 |
|  132/1000 |      8s |        -31.52169 |  |   0.762105 |   -34.03718 |
|  133/1000 |      9s |        -31.49331 |  |   0.769186 |   -34.93725 |
|  134/1000 |      9s |        -31.58959 |  |   0.769554 |   -35.13615 |
|  135/1000 |      8s |        -31.60574 |  |   0.763271 |   -33.92608 |
|  136/1000 |      8s |        -31.51738 |  |   0.768020 |   -35.39131 |
|  137/1000 |      8s |        -31.57101 |  |   0.767536 |   -34.92039 |
|  138/1000 |      8s |        -31.71198 |  |   0.767040 |   -35.28919 |
|  139/1000 |      8s |        -31.61374 |  |   0.769178 |   -34.27704 |
|  140/1000 |      8s |        -31.71710 |  |   0.766921 |   -34.45687 |
|  141/1000 |      8s |        -31.94358 |  |   0.769763 |   -35.66899 |
|  142/1000 |      8s |        -31.71058 |  |   0.772980 |   -35.05884 |
|  143/1000 |      8s |        -31.91670 |  |   0.773666 |   -35.55870 |
|  144/1000 |      8s |        -31.83667 |  |   0.771815 |   -34.16331 |
|  145/1000 |      8s |        -31.88865 |  |   0.767895 |   -34.92689 |
|  146/1000 |      8s |        -31.89225 |  |   0.760544 |   -34.66243 |
|  147/1000 |      8s |        -31.97311 |  |   0.761604 |   -34.85741 |
|  148/1000 |      8s |        -31.96077 |  |   0.771742 |   -35.60993 |
|  149/1000 |      8s |        -31.92830 |  |   0.773666 |   -35.53225 |
|  150/1000 |      8s |        -32.02207 |  |   0.770795 |   -34.47955 |
|  151/1000 |      8s |        -32.11263 |  |   0.766932 |   -34.47397 |
|  152/1000 |      8s |        -32.03898 |  |   0.775215 |   -35.34918 |
|  153/1000 |      8s |        -32.09235 |  |   0.777517 |   -35.69135 |
|  154/1000 |      8s |        -32.04992 |  |   0.775241 |   -35.77636 |
|  155/1000 |      8s |        -32.09458 |  |   0.763150 |   -34.42565 |
|  156/1000 |      8s |        -32.02884 |  |   0.775721 |   -34.90390 |
|  157/1000 |      8s |        -32.20311 |  |   0.771612 |   -35.03074 |
|  158/1000 |      8s |        -32.26977 |  |   0.778399 |   -36.00005 |
|  159/1000 |      8s |        -32.33922 |  |   0.774788 |   -35.73569 |
|  160/1000 |      8s |        -32.25563 |  |   0.765574 |   -32.19169 |
|  161/1000 |      8s |        -32.32120 |  |   0.777767 |   -35.85687 |
|  162/1000 |      8s |        -32.32375 |  |   0.778620 |   -35.98166 |
|  163/1000 |      8s |        -32.38291 |  |   0.777034 |   -35.92723 |
|  164/1000 |      8s |        -32.46338 |  |   0.770040 |   -35.08168 |
|  165/1000 |      8s |        -32.28239 |  |   0.777393 |   -35.21587 |
|  166/1000 |      8s |        -32.43058 |  |   0.779134 |   -35.42246 |
|  167/1000 |      8s |        -32.42293 |  |   0.773416 |   -35.36892 |
|  168/1000 |      8s |        -32.52866 |  |   0.779579 |   -36.34214 |
|  169/1000 |      8s |        -32.45092 |  |   0.774433 |   -34.33838 |
|  170/1000 |      8s |        -32.46494 |  |   0.779879 |   -35.37628 |
|  171/1000 |      8s |        -32.61165 |  |   0.783646 |   -36.05843 |
|  172/1000 |      8s |        -32.52288 |  |   0.775819 |   -34.47749 |
|  173/1000 |      8s |        -32.49551 |  |   0.775409 |   -33.50813 |
|  174/1000 |      8s |        -32.56842 |  |   0.775917 |   -36.36119 |
|  175/1000 |      8s |        -32.60868 |  |   0.784100 |   -36.86401 |
|  176/1000 |      8s |        -32.64976 |  |   0.780495 |   -35.71166 |
|  177/1000 |      8s |        -32.59965 |  |   0.783338 |   -36.48976 |
|  178/1000 |      8s |        -32.68720 |  |   0.781432 |   -34.77464 |
|  179/1000 |      8s |        -32.69966 |  |   0.771989 |   -35.31280 |
|  180/1000 |      8s |        -32.72295 |  |   0.781138 |   -35.09633 |
|  181/1000 |      8s |        -32.67489 |  |   0.781882 |   -35.43076 |
|  182/1000 |      8s |        -32.71723 |  |   0.784556 |   -36.35542 |
|  183/1000 |      8s |        -32.74694 |  |   0.785919 |   -36.68311 |
|  184/1000 |      8s |        -32.75351 |  |   0.784242 |   -36.61179 |
|  185/1000 |      8s |        -32.77680 |  |   0.783191 |   -36.65071 |
|  186/1000 |      8s |        -32.86018 |  |   0.784519 |   -35.46543 |
|  187/1000 |      8s |        -32.77489 |  |   0.785534 |   -36.14094 |
|  188/1000 |      8s |        -32.81411 |  |   0.783841 |   -35.02463 |
|  189/1000 |      8s |        -32.84075 |  |   0.778207 |   -35.74128 |
|  190/1000 |      8s |        -32.90577 |  |   0.788344 |   -36.47111 |
|  191/1000 |      8s |        -32.97408 |  |   0.788395 |   -36.96057 |
|  192/1000 |      8s |        -32.89459 |  |   0.782858 |   -35.62268 |
|  193/1000 |      8s |        -33.05591 |  |   0.785603 |   -35.92010 |
|  194/1000 |      8s |        -32.97544 |  |   0.779462 |   -36.32106 |
|  195/1000 |      8s |        -32.97489 |  |   0.784247 |   -35.45435 |
|  196/1000 |      8s |        -32.97684 |  |   0.784992 |   -36.96230 |
|  197/1000 |      8s |        -33.05690 |  |   0.786675 |   -36.66920 |
|  198/1000 |      8s |        -32.91144 |  |   0.787860 |   -37.27280 |
|  199/1000 |      8s |        -32.99963 |  |   0.791325 |   -36.95155 |
|  200/1000 |      8s |        -32.99292 |  |   0.786656 |   -36.73168 |
|  201/1000 |      8s |        -33.61108 |  |   0.788162 |   -37.03334 |
|  202/1000 |      8s |        -33.61369 |  |   0.784020 |   -36.17729 |
|  203/1000 |      8s |        -33.58939 |  |   0.791446 |   -37.33368 |
|  204/1000 |      8s |        -33.61349 |  |   0.787655 |   -36.75485 |
|  205/1000 |      8s |        -33.58324 |  |   0.787308 |   -37.17441 |
