Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.36
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|  124/1000 |     16s |        -42.67623 |  |   0.893522 |   -47.11934 |
|  125/1000 |     16s |        -42.71355 |  |   0.894879 |   -47.10383 |
|  126/1000 |     16s |        -42.76910 |  |   0.893725 |   -46.95585 |
|  127/1000 |     16s |        -42.76856 |  |   0.893772 |   -46.80237 |
|  128/1000 |     16s |        -42.74343 |  |   0.891491 |   -46.67451 |
|  129/1000 |     16s |        -42.87721 |  |   0.894742 |   -47.08553 |
|  130/1000 |     16s |        -42.84508 |  |   0.894118 |   -47.30671 |
|  131/1000 |     16s |        -42.87566 |  |   0.894151 |   -47.12440 |
|  132/1000 |     16s |        -42.93178 |  |   0.895506 |   -47.60095 |
|  133/1000 |     16s |        -42.82003 |  |   0.894044 |   -46.84475 |
|  134/1000 |     16s |        -42.90854 |  |   0.893159 |   -47.23735 |
|  135/1000 |     16s |        -42.92833 |  |   0.893062 |   -47.49517 |
|  136/1000 |     16s |        -43.02294 |  |   0.895281 |   -47.27235 |
|  137/1000 |     16s |        -42.99867 |  |   0.893521 |   -46.83977 |
|  138/1000 |     16s |        -42.98869 |  |   0.894674 |   -46.81190 |
|  139/1000 |     16s |        -43.06928 |  |   0.894615 |   -47.07549 |
|  140/1000 |     16s |        -43.03867 |  |   0.895532 |   -47.20849 |
|  141/1000 |     16s |        -43.17254 |  |   0.895107 |   -47.70698 |
|  142/1000 |     16s |        -43.11785 |  |   0.894189 |   -46.39599 |
|  143/1000 |     16s |        -43.09804 |  |   0.894980 |   -47.60575 |
|  144/1000 |     16s |        -43.10113 |  |   0.894095 |   -47.35799 |
|  145/1000 |     16s |        -43.04826 |  |   0.893476 |   -47.12541 |
|  146/1000 |     16s |        -43.21527 |  |   0.895898 |   -47.42271 |
|  147/1000 |     16s |        -43.23582 |  |   0.894026 |   -46.56711 |
|  148/1000 |     16s |        -43.24515 |  |   0.894886 |   -47.28192 |
|  149/1000 |     16s |        -43.24115 |  |   0.891592 |   -45.51948 |
|  150/1000 |     16s |        -43.27166 |  |   0.894250 |   -47.20864 |
|  151/1000 |     16s |        -43.24188 |  |   0.894358 |   -47.25233 |
|  152/1000 |     16s |        -43.25292 |  |   0.894079 |   -47.14741 |
|  153/1000 |     16s |        -43.35484 |  |   0.896101 |   -45.99216 |
|  154/1000 |     16s |        -43.39446 |  |   0.893819 |   -47.47898 |
|  155/1000 |     16s |        -43.41014 |  |   0.892527 |   -47.17563 |
|  156/1000 |     16s |        -43.46057 |  |   0.894955 |   -47.04093 |
|  157/1000 |     16s |        -43.41902 |  |   0.894810 |   -46.79123 |
|  158/1000 |     16s |        -43.39934 |  |   0.893162 |   -44.69511 |
|  159/1000 |     16s |        -43.40083 |  |   0.893660 |   -47.02527 |
|  160/1000 |     16s |        -43.54260 |  |   0.895177 |   -47.36014 |
|  161/1000 |     16s |        -43.52509 |  |   0.894038 |   -46.41568 |
|  162/1000 |     16s |        -43.55421 |  |   0.895520 |   -47.71134 |
|  163/1000 |     16s |        -43.52354 |  |   0.893308 |   -48.19094 |
|  164/1000 |     16s |        -43.50901 |  |   0.893420 |   -45.38822 |
|  165/1000 |     16s |        -43.52094 |  |   0.895141 |   -47.25169 |
|  166/1000 |     16s |        -43.55354 |  |   0.894708 |   -47.53730 |
|  167/1000 |     16s |        -43.64998 |  |   0.893099 |   -46.87081 |
|  168/1000 |     16s |        -43.60038 |  |   0.893410 |   -47.93772 |
|  169/1000 |     16s |        -43.56763 |  |   0.894593 |   -47.41052 |
|  170/1000 |     16s |        -43.61435 |  |   0.895197 |   -47.76887 |
|  171/1000 |     16s |        -43.61939 |  |   0.895663 |   -48.02962 |
|  172/1000 |     16s |        -43.62874 |  |   0.893635 |   -46.56300 |
|  173/1000 |     16s |        -43.72841 |  |   0.894627 |   -47.89466 |
|  174/1000 |     16s |        -43.69341 |  |   0.894425 |   -48.31356 |
|  175/1000 |     16s |        -43.61076 |  |   0.895587 |   -48.18949 |
|  176/1000 |     16s |        -43.73580 |  |   0.894214 |   -46.58028 |
|  177/1000 |     16s |        -43.63515 |  |   0.892828 |   -47.23502 |
|  178/1000 |     16s |        -43.81787 |  |   0.895225 |   -48.12846 |
|  179/1000 |     16s |        -43.70999 |  |   0.894652 |   -47.86354 |
|  180/1000 |     16s |        -43.72262 |  |   0.894130 |   -48.02250 |
|  181/1000 |     16s |        -43.72974 |  |   0.895203 |   -47.08363 |
|  182/1000 |     16s |        -43.81889 |  |   0.896373 |   -48.13821 |
|  183/1000 |     16s |        -43.84134 |  |   0.895213 |   -48.21182 |
|  184/1000 |     16s |        -43.82981 |  |   0.893043 |   -47.78264 |
|  185/1000 |     16s |        -43.91667 |  |   0.892934 |   -47.74470 |
|  186/1000 |     16s |        -43.83574 |  |   0.894590 |   -46.92182 |
|  187/1000 |     16s |        -43.88137 |  |   0.894929 |   -48.22809 |
|  188/1000 |     16s |        -43.91136 |  |   0.894467 |   -47.99022 |
|  189/1000 |     16s |        -43.93362 |  |   0.894113 |   -48.05434 |
|  190/1000 |     16s |        -43.83804 |  |   0.893684 |   -47.74571 |
|  191/1000 |     16s |        -43.92489 |  |   0.893814 |   -47.46977 |
|  192/1000 |     16s |        -43.89699 |  |   0.893733 |   -48.17482 |
|  193/1000 |     16s |        -43.99476 |  |   0.895429 |   -48.34813 |
|  194/1000 |     16s |        -43.94273 |  |   0.894505 |   -47.86581 |
|  195/1000 |     16s |        -43.98255 |  |   0.897004 |   -48.65039 |
|  196/1000 |     16s |        -43.99158 |  |   0.895627 |   -47.56483 |
|  197/1000 |     16s |        -43.99541 |  |   0.895485 |   -46.71202 |
|  198/1000 |     16s |        -43.98646 |  |   0.895013 |   -48.66935 |
|  199/1000 |     16s |        -44.06465 |  |   0.895633 |   -48.36829 |
|  200/1000 |     16s |        -44.10514 |  |   0.895340 |   -47.85273 |
|  201/1000 |     16s |        -44.45301 |  |   0.894146 |   -48.61531 |
|  202/1000 |     16s |        -44.49184 |  |   0.894738 |   -48.77383 |
|  203/1000 |     16s |        -44.49435 |  |   0.894951 |   -48.33283 |
|  204/1000 |     16s |        -44.49881 |  |   0.895100 |   -48.68638 |
|  205/1000 |     16s |        -44.47094 |  |   0.895076 |   -48.63955 |
|  206/1000 |     16s |        -44.53607 |  |   0.894231 |   -48.46707 |
|  207/1000 |     16s |        -44.52857 |  |   0.893869 |   -48.59657 |
|  208/1000 |     16s |        -44.51970 |  |   0.893440 |   -49.05484 |
|  209/1000 |     16s |        -44.61073 |  |   0.894209 |   -47.90521 |
|  210/1000 |     16s |        -44.58198 |  |   0.894258 |   -49.12987 |
|  211/1000 |     16s |        -44.65897 |  |   0.894339 |   -48.52112 |
|  212/1000 |     16s |        -44.65165 |  |   0.893689 |   -48.99830 |
|  213/1000 |     16s |        -44.56104 |  |   0.894811 |   -48.98438 |
|  214/1000 |     16s |        -44.65100 |  |   0.895134 |   -48.69282 |
|  215/1000 |     16s |        -44.66767 |  |   0.893729 |   -49.26968 |
|  216/1000 |     16s |        -44.68072 |  |   0.894601 |   -48.67929 |
|  217/1000 |     16s |        -44.67635 |  |   0.894571 |   -48.91677 |
|  218/1000 |     16s |        -44.70406 |  |   0.894473 |   -49.08034 |
|  219/1000 |     16s |        -44.70416 |  |   0.894939 |   -48.92324 |
|  220/1000 |     16s |        -44.79450 |  |   0.895929 |   -49.24655 |
|  221/1000 |     16s |        -44.72331 |  |   0.895550 |   -48.61271 |
|  222/1000 |     16s |        -44.75026 |  |   0.893815 |   -49.24473 |
|  223/1000 |     16s |        -44.73964 |  |   0.892791 |   -48.90560 |
|  224/1000 |     16s |        -44.70729 |  |   0.893391 |   -48.67386 |
|  225/1000 |     16s |        -44.78808 |  |   0.896008 |   -49.03724 |
|  226/1000 |     16s |        -44.69021 |  |   0.893331 |   -49.28642 |
|  227/1000 |     16s |        -44.81990 |  |   0.895356 |   -49.26613 |
|  228/1000 |     16s |        -44.80719 |  |   0.896405 |   -49.05006 |
|  229/1000 |     16s |        -44.88004 |  |   0.894000 |   -49.34543 |
|  230/1000 |     16s |        -44.81395 |  |   0.895249 |   -48.98268 |
|  231/1000 |     16s |        -44.86961 |  |   0.894131 |   -49.18289 |
|  232/1000 |     16s |        -44.83276 |  |   0.893321 |   -48.93482 |
|  233/1000 |     16s |        -44.86154 |  |   0.895396 |   -48.97910 |
|  234/1000 |     16s |        -44.89538 |  |   0.895541 |   -48.70558 |
|  235/1000 |     16s |        -44.91757 |  |   0.893387 |   -48.91001 |
|  236/1000 |     16s |        -44.91469 |  |   0.894550 |   -49.27379 |
|  237/1000 |     16s |        -44.92478 |  |   0.893476 |   -49.31162 |
|  238/1000 |     16s |        -44.90738 |  |   0.895114 |   -49.33592 |
|  239/1000 |     16s |        -44.98845 |  |   0.896879 |   -49.17448 |
|  240/1000 |     16s |        -44.92061 |  |   0.895004 |   -49.06700 |
|  241/1000 |     16s |        -44.89696 |  |   0.895628 |   -48.88707 |
|  242/1000 |     16s |        -44.96118 |  |   0.894062 |   -48.65164 |
|  243/1000 |     16s |        -44.97477 |  |   0.894675 |   -49.29021 |
|  244/1000 |     16s |        -44.96640 |  |   0.895340 |   -48.75096 |
|  245/1000 |     16s |        -44.96074 |  |   0.896238 |   -49.19310 |
|  246/1000 |     17s |        -45.00971 |  |   0.895830 |   -48.46581 |
|  247/1000 |     16s |        -44.93462 |  |   0.894682 |   -49.36930 |
|  248/1000 |     16s |        -45.07782 |  |   0.894721 |   -49.58757 |
|  249/1000 |     16s |        -44.96010 |  |   0.894813 |   -48.94729 |
|  250/1000 |     16s |        -45.06531 |  |   0.895071 |   -49.50957 |
|  251/1000 |     16s |        -45.05884 |  |   0.894653 |   -49.53693 |
|  252/1000 |     16s |        -45.05698 |  |   0.894210 |   -49.40588 |
|  253/1000 |     16s |        -45.07866 |  |   0.895112 |   -49.53844 |
|  254/1000 |     16s |        -45.10302 |  |   0.895563 |   -49.09235 |
