Selected mat file:
otherR/R_12.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|  139/1000 |      8s |        -38.41963 |  |   0.824244 |   -42.15867 |
|  140/1000 |      8s |        -38.33108 |  |   0.821120 |   -38.93491 |
|  141/1000 |      8s |        -38.56269 |  |   0.822715 |   -42.13524 |
|  142/1000 |      8s |        -38.53370 |  |   0.824275 |   -41.18840 |
|  143/1000 |      8s |        -38.45421 |  |   0.823608 |   -41.35393 |
|  144/1000 |      8s |        -38.65622 |  |   0.822998 |   -41.82121 |
|  145/1000 |      8s |        -38.73553 |  |   0.820188 |   -41.82609 |
|  146/1000 |      8s |        -38.67609 |  |   0.825501 |   -42.20464 |
|  147/1000 |      8s |        -38.79818 |  |   0.822596 |   -41.13949 |
|  148/1000 |      8s |        -39.00747 |  |   0.822736 |   -42.02060 |
|  149/1000 |      8s |        -38.91692 |  |   0.822603 |   -42.67473 |
|  150/1000 |      8s |        -39.06141 |  |   0.821966 |   -41.54168 |
|  151/1000 |      8s |        -38.95075 |  |   0.822479 |   -42.59789 |
|  152/1000 |      8s |        -39.08741 |  |   0.822582 |   -43.17865 |
|  153/1000 |      8s |        -39.10117 |  |   0.823628 |   -42.22295 |
|  154/1000 |      8s |        -39.10762 |  |   0.821588 |   -43.11312 |
|  155/1000 |      8s |        -39.22490 |  |   0.822555 |   -42.78798 |
|  156/1000 |      8s |        -39.20572 |  |   0.822930 |   -41.77183 |
|  157/1000 |      8s |        -39.13604 |  |   0.822153 |   -41.29302 |
|  158/1000 |      8s |        -39.28416 |  |   0.823401 |   -38.79032 |
|  159/1000 |      8s |        -39.30913 |  |   0.822492 |   -42.11783 |
|  160/1000 |      8s |        -39.38264 |  |   0.819589 |   -41.02099 |
|  161/1000 |      8s |        -39.36207 |  |   0.824645 |   -42.38600 |
|  162/1000 |      8s |        -39.46388 |  |   0.823286 |   -42.18600 |
|  163/1000 |      8s |        -39.41358 |  |   0.824458 |   -41.66030 |
|  164/1000 |      8s |        -39.62565 |  |   0.822146 |   -43.20503 |
|  165/1000 |      8s |        -39.47746 |  |   0.821890 |   -42.80977 |
|  166/1000 |      8s |        -39.46297 |  |   0.823063 |   -43.27185 |
|  167/1000 |      8s |        -39.61454 |  |   0.825269 |   -42.72655 |
|  168/1000 |      8s |        -39.47652 |  |   0.822907 |   -42.05523 |
|  169/1000 |      8s |        -39.66020 |  |   0.822627 |   -43.02266 |
|  170/1000 |      8s |        -39.60964 |  |   0.822537 |   -43.52288 |
|  171/1000 |      8s |        -39.61721 |  |   0.821645 |   -43.35546 |
|  172/1000 |      8s |        -38.50098 |  |   0.824656 |   -40.99113 |
|  173/1000 |      8s |        -39.83572 |  |   0.823060 |   -42.21287 |
|  174/1000 |      8s |        -39.76711 |  |   0.825109 |   -43.21362 |
|  175/1000 |      8s |        -39.63722 |  |   0.824997 |   -43.48411 |
|  176/1000 |      8s |        -39.65423 |  |   0.823423 |   -43.08748 |
|  177/1000 |      8s |        -39.82644 |  |   0.821841 |   -43.08625 |
|  178/1000 |      8s |        -39.91959 |  |   0.823478 |   -42.73707 |
|  179/1000 |      8s |        -39.54972 |  |   0.824046 |   -43.28304 |
|  180/1000 |      8s |        -39.84498 |  |   0.824687 |   -43.97572 |
|  181/1000 |      8s |        -39.91318 |  |   0.825406 |   -43.66581 |
|  182/1000 |      8s |        -39.75366 |  |   0.824464 |   -43.47640 |
|  183/1000 |      8s |        -39.90723 |  |   0.820266 |   -41.53906 |
|  184/1000 |      8s |        -39.98869 |  |   0.822628 |   -42.41268 |
|  185/1000 |      8s |        -39.96804 |  |   0.824163 |   -43.66431 |
|  186/1000 |      8s |        -40.23617 |  |   0.823632 |   -43.61162 |
|  187/1000 |      8s |        -40.03732 |  |   0.822657 |   -43.95737 |
|  188/1000 |      8s |        -40.14772 |  |   0.822968 |   -41.93335 |
|  189/1000 |      8s |        -40.09819 |  |   0.823819 |   -42.18293 |
|  190/1000 |      8s |        -40.17078 |  |   0.822989 |   -44.10156 |
|  191/1000 |      8s |        -40.22559 |  |   0.824083 |   -42.91586 |
|  192/1000 |      8s |        -40.35819 |  |   0.823383 |   -43.75486 |
|  193/1000 |      8s |        -40.14168 |  |   0.824931 |   -43.42967 |
|  194/1000 |      8s |        -40.08568 |  |   0.823874 |   -43.71380 |
|  195/1000 |      8s |        -40.18982 |  |   0.822913 |   -41.97563 |
|  196/1000 |      8s |        -40.21712 |  |   0.823465 |   -42.94593 |
|  197/1000 |      8s |        -40.39593 |  |   0.824441 |   -44.05776 |
|  198/1000 |      8s |        -40.35898 |  |   0.824110 |   -40.25441 |
|  199/1000 |      8s |        -40.25733 |  |   0.823227 |   -43.36181 |
|  200/1000 |      8s |        -40.44210 |  |   0.824049 |   -43.65354 |
|  201/1000 |      8s |        -41.10630 |  |   0.823688 |   -44.63403 |
|  202/1000 |      8s |        -41.07777 |  |   0.823877 |   -44.70794 |
|  203/1000 |      8s |        -40.99174 |  |   0.822790 |   -43.37412 |
|  204/1000 |      8s |        -41.00302 |  |   0.823739 |   -43.86850 |
|  205/1000 |      8s |        -41.13570 |  |   0.822427 |   -41.88486 |
|  206/1000 |      8s |        -41.19627 |  |   0.824696 |   -43.94484 |
|  207/1000 |      8s |        -41.20795 |  |   0.822794 |   -44.92103 |
|  208/1000 |      8s |        -41.33809 |  |   0.824049 |   -44.83493 |
|  209/1000 |      8s |        -41.21247 |  |   0.824798 |   -44.99221 |
|  210/1000 |      8s |        -41.30714 |  |   0.823253 |   -44.92541 |
|  211/1000 |      8s |        -41.36606 |  |   0.823983 |   -45.01541 |
|  212/1000 |      8s |        -41.35831 |  |   0.823858 |   -44.45281 |
|  213/1000 |      8s |        -41.21281 |  |   0.825065 |   -45.19397 |
|  214/1000 |      8s |        -41.33610 |  |   0.825315 |   -44.54202 |
|  215/1000 |      8s |        -41.41898 |  |   0.825277 |   -45.35863 |
|  216/1000 |      8s |        -41.55007 |  |   0.822802 |   -44.05904 |
|  217/1000 |      8s |        -41.37485 |  |   0.825932 |   -44.09481 |
|  218/1000 |      8s |        -41.47377 |  |   0.822829 |   -44.54737 |
|  219/1000 |      8s |        -41.36468 |  |   0.824094 |   -45.38572 |
|  220/1000 |      8s |        -41.65125 |  |   0.824741 |   -44.88077 |
|  221/1000 |      8s |        -41.54029 |  |   0.823901 |   -45.21396 |
|  222/1000 |      8s |        -41.57871 |  |   0.820973 |   -41.42932 |
|  223/1000 |      8s |        -41.58009 |  |   0.825242 |   -45.23933 |
|  224/1000 |      8s |        -41.56081 |  |   0.824348 |   -45.23581 |
|  225/1000 |      8s |        -41.52823 |  |   0.825436 |   -43.25354 |
|  226/1000 |      8s |        -41.56417 |  |   0.824499 |   -44.61749 |
|  227/1000 |      8s |        -41.66667 |  |   0.824183 |   -44.62046 |
|  228/1000 |      8s |        -41.67285 |  |   0.823942 |   -45.35368 |
|  229/1000 |      8s |        -41.54160 |  |   0.825697 |   -45.43065 |
|  230/1000 |      8s |        -41.68210 |  |   0.822671 |   -45.34809 |
|  231/1000 |      8s |        -41.72703 |  |   0.826543 |   -45.83005 |
|  232/1000 |      8s |        -41.75694 |  |   0.824447 |   -45.44215 |
|  233/1000 |      8s |        -41.65961 |  |   0.824463 |   -44.74433 |
|  234/1000 |      8s |        -41.70886 |  |   0.823377 |   -45.17873 |
|  235/1000 |      8s |        -41.67232 |  |   0.823554 |   -45.10183 |
|  236/1000 |      8s |        -41.72812 |  |   0.825408 |   -44.74006 |
|  237/1000 |      8s |        -41.77905 |  |   0.824090 |   -44.45080 |
|  238/1000 |      8s |        -41.73875 |  |   0.824964 |   -45.12763 |
|  239/1000 |      8s |        -41.77150 |  |   0.823867 |   -45.03302 |
|  240/1000 |      8s |        -41.81922 |  |   0.824430 |   -45.60158 |
|  241/1000 |      8s |        -41.87273 |  |   0.824250 |   -44.69587 |
|  242/1000 |      8s |        -41.94610 |  |   0.824165 |   -45.59493 |
|  243/1000 |      8s |        -41.87279 |  |   0.824504 |   -45.10660 |
|  244/1000 |      8s |        -41.96332 |  |   0.824028 |   -45.64499 |
|  245/1000 |      8s |        -41.95382 |  |   0.825347 |   -45.50855 |
|  246/1000 |      8s |        -41.93370 |  |   0.826174 |   -45.74919 |
|  247/1000 |      8s |        -41.93965 |  |   0.826005 |   -45.65538 |
|  248/1000 |      8s |        -41.98166 |  |   0.824170 |   -45.22187 |
|  249/1000 |      8s |        -42.00804 |  |   0.825156 |   -45.30044 |
|  250/1000 |      8s |        -41.95346 |  |   0.826328 |   -45.78669 |
|  251/1000 |      8s |        -41.97576 |  |   0.826359 |   -45.38293 |
|  252/1000 |      8s |        -42.03756 |  |   0.825877 |   -45.80683 |
|  253/1000 |      8s |        -42.03411 |  |   0.824274 |   -44.50921 |
|  254/1000 |      8s |        -42.07025 |  |   0.825334 |   -44.66695 |
|  255/1000 |      8s |        -41.95703 |  |   0.823590 |   -45.40997 |
|  256/1000 |      8s |        -42.01080 |  |   0.824549 |   -45.57930 |
|  257/1000 |      8s |        -42.13293 |  |   0.825710 |   -46.05305 |
|  258/1000 |      8s |        -42.17133 |  |   0.825170 |   -45.44816 |
|  259/1000 |      8s |        -42.04884 |  |   0.825487 |   -45.62300 |
|  260/1000 |      8s |        -42.17134 |  |   0.824808 |   -45.22726 |
|  261/1000 |      8s |        -42.22260 |  |   0.825039 |   -44.53517 |
|  262/1000 |      8s |        -42.27613 |  |   0.823685 |   -43.44308 |
|  263/1000 |      8s |        -42.20401 |  |   0.823296 |   -43.52782 |
|  264/1000 |      8s |        -42.15455 |  |   0.824704 |   -45.81596 |
|  265/1000 |      8s |        -42.22242 |  |   0.827425 |   -45.31586 |
