Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|  156/1000 |      6s |        -40.44830 |  |   0.890777 |   -43.78211 |
|  157/1000 |      6s |        -40.52472 |  |   0.889877 |   -43.73924 |
|  158/1000 |      6s |        -40.51354 |  |   0.892978 |   -44.45936 |
|  159/1000 |      6s |        -40.56477 |  |   0.888658 |   -42.94669 |
|  160/1000 |      6s |        -40.52119 |  |   0.890625 |   -43.60645 |
|  161/1000 |      6s |        -40.74494 |  |   0.887577 |   -43.84642 |
|  162/1000 |      6s |        -40.51668 |  |   0.888282 |   -43.44269 |
|  163/1000 |      6s |        -40.51160 |  |   0.890938 |   -43.74956 |
|  164/1000 |      6s |        -40.57353 |  |   0.892737 |   -43.23691 |
|  165/1000 |      6s |        -40.58467 |  |   0.892823 |   -44.98734 |
|  166/1000 |      6s |        -40.76436 |  |   0.891505 |   -43.98501 |
|  167/1000 |      6s |        -40.64126 |  |   0.893009 |   -44.94029 |
|  168/1000 |      6s |        -40.66433 |  |   0.892382 |   -44.42196 |
|  169/1000 |      6s |        -40.78664 |  |   0.891906 |   -44.61104 |
|  170/1000 |      6s |        -40.73900 |  |   0.892273 |   -43.85773 |
|  171/1000 |      6s |        -40.92779 |  |   0.889583 |   -43.37349 |
|  172/1000 |      6s |        -40.93375 |  |   0.890462 |   -44.24035 |
|  173/1000 |      6s |        -40.84678 |  |   0.891074 |   -43.75378 |
|  174/1000 |      6s |        -40.97831 |  |   0.891999 |   -45.34442 |
|  175/1000 |      6s |        -40.77500 |  |   0.890570 |   -43.60928 |
|  176/1000 |      6s |        -40.87270 |  |   0.892272 |   -44.83557 |
|  177/1000 |      6s |        -40.90645 |  |   0.887044 |   -41.62030 |
|  178/1000 |      6s |        -40.94280 |  |   0.890919 |   -43.27747 |
|  179/1000 |      6s |        -40.99476 |  |   0.892244 |   -45.12600 |
|  180/1000 |      6s |        -40.81844 |  |   0.892422 |   -44.21736 |
|  181/1000 |      6s |        -41.17588 |  |   0.893803 |   -44.97762 |
|  182/1000 |      6s |        -41.04729 |  |   0.891347 |   -44.80739 |
|  183/1000 |      6s |        -41.09451 |  |   0.891425 |   -45.34753 |
|  184/1000 |      6s |        -41.20667 |  |   0.890309 |   -45.58762 |
|  185/1000 |      6s |        -41.21032 |  |   0.891020 |   -44.49563 |
|  186/1000 |      6s |        -40.03333 |  |   0.894191 |   -45.20379 |
|  187/1000 |      6s |        -41.24526 |  |   0.889720 |   -44.87563 |
|  188/1000 |      6s |        -41.01479 |  |   0.895752 |   -45.14608 |
|  189/1000 |      6s |        -41.32288 |  |   0.892362 |   -45.55932 |
|  190/1000 |      6s |        -41.15359 |  |   0.890983 |   -43.37220 |
